club,url,platform,reviewed,c1_first_impression,c2_joining,c3_learn_to_row,c4_juniors,c5_content,c6_events_results,c7_mobile,c8_performance,c9_accessibility,c10_seo,c11_design,c12_contact,c13_member_tools,c14_standouts,overall,notes
Peterborough City RC (current),https://peterboroughcityrowing.co.uk/,WordPress,2026-08-14,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,"Baseline being replaced; complete fee table + named contacts, but split joining journey, empty landing pages, broken links, no H1"
Peterborough City RC (new),https://rowing-club.cloudflare-svc-763.workers.dev/,Astro on Cloudflare,2026-08-14,4,4,4,4,3,3,4,5,4,4,4,3,2,3,3.5,"One-page joining journey, top-tier performance/a11y/SEO; form backend, news archive and member tools still to come"
Wallingford RC,https://wallingfordrc.co.uk/,WordPress.com,2026-08-14,3,3,4,4,4,3,3,3,3,3,3,3,2,4,3.2,"Achievement-led squad marketing, capacity signalling, indoor LTR funnel; three-domain migration mess, mailto-only contact"
Nottingham RC,https://nottingham-rowing-club.co.uk/,WordPress,2026-08-14,3,3,3,2,3,3,3,2,2,3,3,3,2,3,3.0,"Pricing cards, honest course-capacity messaging, venue-hire subsite; dated build, mailto joining, broken embed, weak juniors"
Thames RC,https://thamesrc.co.uk/,Squarespace,2026-08-14,4,3,1,1,3,4,4,3,3,4,4,3,3,4,3.4,"Events commercialised as subsite, donate in nav, honest scope (no juniors/LTR); fees as inline text blob, external MS Form"
Leeds RC,https://leedsrowing.org.uk/,Squarespace,2026-08-14,4,4,5,4,3,2,4,3,3,3,4,4,3,5,3.8,"Best joining funnel: audience-split cards, numbered LTR steps, waiting-list form, cox recruitment; no events section, weak homepage title"
Lea RC,https://www.learc.org.uk/,Wix,2026-08-14,3,3,3,3,4,4,3,2,2,3,3,3,4,4,3.3,"Members portal, regattas + weddings subsites, photographer credits; card links point to homepage, default Wix URLs, dated build"
Tideway Scullers,https://www.tidewayscullersschool.co.uk/,Squarespace,2026-08-14,3,5,3,4,3,2,4,3,3,3,3,4,3,4,3.6,"Best membership page: numbered process, per-squad application forms, monthly+annual pricing, racking fees published; text-led, no news/events"
City of Cambridge RC,https://www.cityrc.co.uk/,Squarespace,2026-08-14,4,3,4,3,3,3,4,3,2,3,4,3,3,4,3.4,"Achievement-led homepage, fully specified LTR course booked via British Rowing justgo; broken card links, heading chaos"
Enable Leisure (Barn Elms),https://www.enableleisure.co.uk/rowing,Squarespace + Bookwhen/Gymflow,2026-08-14,3,4,5,4,3,1,4,3,3,4,3,4,4,5,3.5,"Leisure trust, not club: everything bookable/payable online, complete product ladder, school partnerships; staging-URL link leak"
Walton RC,http://www.waltonrowingclub.co.uk/,WordPress,2026-08-14,2,3,3,3,4,3,2,2,2,2,2,3,2,4,2.8,"Live river-conditions embeds with plain-English threshold, FAQ join page, fresh categorised news; dated build, http, obfuscated email"
Marlow RC,https://www.marlowrowingclub.org.uk/,WordPress,2026-08-14,4,4,5,5,3,4,3,3,3,3,4,3,3,5,3.8,"Most complete site: six programme cards incl. adaptive, free learn-to-cox, venue hire on-domain, status banner, donate in nav; heading chaos"
